image_name,color0,color1,color2,color3,color4,color5,color6,color7,color8,color9
19741-doublepo.jpg,#3d2b1f,#a99a86,#635147,#4b3621,#edc9af,#848482,#592720,#c9c0bb,#a57164,#253529
07793-05birth.jpg,#a99a86,#7c4848,#3d2b1f,#3d2b1f,#e3dac9,#1a2421,#1a2421,#592720,#66424d,#a9a9a9
20975-still_li.jpg,#3c341f,#6f4e37,#4b3621,#d99058,#b78727,#253529,#e6be8a,#882d17,#353839,#4d5d53
13500-zodiac041.jpg,#a99a86,#836953,#cfcfc4,#3d2b1f,#536872,#e6e6fa,#555,#e5e4e2,#a57164,#343434
42494-kremlin.jpg,#826644,#d3d3d3,#321414,#bc987e,#e5e4e2,#918151,#dcdcdc,#654321,#a9a9a9,#1a2421
00803-predel2.jpg,#321414,#79443b,#bc987e,#e3dac9,#979aaa,#1a1110,#a0785a,#592720,#aa98a9,#c4c3d0
34866-hercules.jpg,#3d2b1f,#6f4e37,#1a1110,#1a2421,#c19a6b,#654321,#536878,#a67b5b,#696969,#882d17
17119-arles41.jpg,#1a2421,#536878,#36454f,#635147,#4d5d53,#1a2421,#1a2421,#72a0c1,#a99a86,#6082b6
14044-madchian.jpg,#826644,#2c1608,#c19a6b,#592720,#f5deb3,#a67b5b,#1a2421,#000,#e6be8a,#000
21603-triumph.jpg,#645452,#a99a86,#1a2421,#3d2b1f,#1a2421,#253529,#4d5d53,#4d5d53,#8a795d,#cfcfc4
14534-allegory.jpg,#3c1414,#dbd7d2,#002147,#635147,#a9a9a9,#26619c,#321414,#654321,#00416a,#979aaa
21465-headgirl.jpg,#c5b358,#eae0c8,#826644,#3d2b1f,#918151,#d2b48c,#4b5320,#882d17,#f2f3f4,#f4f0ec
35839-valkhof1.jpg,#a99a86,#826644,#edc9af,#a9a9a9,#343434,#c9c0bb,#c4c3d0,#a0785a,#a9a9a9,#bebebe
43239-port_man.jpg,#cfcfc4,#321414,#8b4513,#1a1110,#c19a6b,#1a1110,#701c1c,#e6be8a,#cd853f,#654321
09270-oxbow.jpg,#645452,#1a2421,#3d2b1f,#e3dac9,#1a1110,#a99a86,#c4c3d0,#51484f,#d3d3d3,#b2beb5
32547-coronati.jpg,#826644,#bc987e,#100c08,#536878,#696969,#f3e5ab,#a0785a,#e6be8a,#654321,#100c08
19144-37malle2.jpg,#100c08,#1a1110,#826644,#bc987e,#100c08,#a0785a,#4b3621,#cfcfc4,#100c08,#654321
08129-pitti2.jpg,#826644,#bc987e,#3d2b1f,#1a2421,#edc9af,#645452,#1a1110,#a0785a,#98777b,#e6be8a
19546-imagport.jpg,#3d2b1f,#635147,#4d5d53,#a99a86,#979aaa,#253529,#483c32,#d2b48c,#78866b,#3b3c36
34185-beardedw.jpg,#3d2b1f,#6f4e37,#cd9575,#483c32,#fdd5b1,#cb6d51,#1a2421,#e6be8a,#1a2421,#1a2421
37860-stilllif1.jpg,#2c1608,#100c08,#6f4e37,#4b5320,#b5a642,#bdb76b,#ecebbd,#e4d96f,#253529,#4d5d53
